Title,Opponent,Competition,Home/Away/Neutral,Day,Month,Year,Tag Season,Score (Rangers First),Win/Lose/Draw,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,,,,,,,,,,,,,,,,,
Rangers v Clyde 15 July 1873,Clyde,Challenge Match,Home,15,July,1873,1873-74,0-0,Draw,D Smith,Peter McNeil,Tom Vallance,William McBeath,J Ryburn,James Yuill,Peter Campbell,William Thomson,James Watson,D Forrest,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Clyde 20 September 1873,Clyde,Challenge Match,Home,20,September,1873,1873-74,7-1,Win,D Smith,Peter McNeil,H Anderson,William Thomson,W Watson,Peter Campbell,James Yuill,John Ryburn,John Campbell,Moses McNeil,William McBeath,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford v Rangers 25 October 1873,Oxford,Challenge Match,Away,25,October,1873,1873-74,3-0,Win,D Campbell,H Anderson,Peter McNeil,James Yuill,P Campbell,William Thomson,W Watson,John Ryburn,John Campbell,William McBeath,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Rovers 8 November 1873,Rovers,Challenge Match,Home,8,November,1873,1873-74,0-0,Draw,James Yuill,Peter McNeil,H Anderson,Peter Campbell,William McNeil,W Watson,William Thomson,John Ryburn,John Campbell,William McBeath,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garelochhead Dollopers v Rangers 2 January 1874,Garelochhead Dollopers,Challenge Match,Away,2,January,1874,1873-74,3-0,Win,Tom Vallance,William McNeil,J McKinlay,John Campbell,D Watson,Moses McNeil,William McBeath,Peter Campbell,J McPhun,Peter McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grandby v Rangers 10 January 1874,Grandby,Challenge Match,Away,10,January,1874,1873-74,6-0,Win,D Smith,W Watson,John Campbell,Peter Campbell,J Rankine,Moses McNeil,William McBeath,John Ryburn,John Campbell,J Baird,William Thomson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Havelock v Rangers 31 January 1874,Havelock,Challenge Match,Away,31,January,1874,1873-74,0-1,Lose,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard v Rangers 28 February 1874,Standard,Challenge Match,Away,28,February,1874,1873-74,0-0,Draw,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helensburgh v Rangers 21 March 1874,Helensburgh,Challenge Match,Away,21,March,1874,1873-74,2-0,Win,D Watson,John Campbell,William McNeil,James Yuill,John Campbell,Unknown or TBC,Unknown or TBC,William McBeath,Peter McNeil,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star of Leven v Rangers 4 April 1874,Star of Leven,Challenge Match,Away,4,April,1874,1873-74,0-3,Lose,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Helensburgh 18 April 1874,Helensburgh,Challenge Match,Home,18,April,1874,1873-74,2-0,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,William McBeath,James Watson,Moses McNeil,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Star of Leven 25 April 1874,Star of Leven,Challenge Match,Home,25,April,1874,1873-74,0-1,Lose,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Moses McNeil,William McBeath,Moses McNeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Rovers 12 September 1874,Rovers,Challenge Match,Home,12,September,1874,1874-75,2-1,Win,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,Moses McNeil,Peter Campbell,Unknown or TBC,Unknown or TBC,Unknown or TBC,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rangers v Star (Vale of Leven) 19 September 1874,Star (Vale of Leven),Challenge Match,Home,19,September,1874,1874-75,0-0,Draw,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,John Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helensburgh v Rangers 3 October 1874,Helensburgh,Challenge Match,Away,3,October,1874,1874-75,1-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,Unknown or TBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford (Glasgow) v Rangers 10 October 1874,Oxford (Glasgow),Scottish Cup,Away,10,October,1874,1874-75,2-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,George Philips,David Gibb,James Watson,John Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vale of Leven Rovers v Rangers 24 October 1874,Vale of Leven Rovers,Challenge Match,Away,24,October,1874,1874-75,3-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,James Watson,Peter Campbell,David Gibb,John Campbell,J Rankine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Star of Leven v Rangers 31 October 1874,Star of Leven,Challenge Match,Away,31,October,1874,1874-75,3-0,Win,James Yuill,Tom Vallance,Peter McNeil,William McBeath,William McNeil,Moses McNeil,Peter Campbell,John Campbell,George Philips,David Gibb,James Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,
